"Step","race_SAC_dino_transformer - return_train","race_SAC_dino_transformer - return_train__MIN","race_SAC_dino_transformer - return_train__MAX","race_SAC_dino_bigger - return_train","race_SAC_dino_bigger - return_train__MIN","race_SAC_dino_bigger - return_train__MAX","race_SAC_dino - return_train","race_SAC_dino - return_train__MIN","race_SAC_dino - return_train__MAX","SAC_power_source_impoola_color - return_train","SAC_power_source_impoola_color - return_train__MIN","SAC_power_source_impoola_color - return_train__MAX","race_SAC - return_train","race_SAC - return_train__MIN","race_SAC - return_train__MAX"
"28","0.4699998498","0.4699998498","0.4699998498","","","","0.2599999905","0.2599999905","0.2599999905","1.5599993467","1.5599993467","1.5599993467","1.6499993801","1.6499993801","1.6499993801"
"29","0.4699998498","0.4699998498","0.4699998498","","","","0.1399999857","0.1399999857","0.1399999857","2.5499989986","2.5499989986","2.5499989986","","",""
"30","0.3999999166","0.3999999166","0.3999999166","","","","0.1399999857","0.1399999857","0.1399999857","0.7899997234","0.7899997234","0.7899997234","","",""
"31","0.3999999166","0.3999999166","0.3999999166","","","","0.4799998403","0.4799998403","0.4799998403","1.7099989653","1.7099989653","1.7099989653","1.7199990749","1.7199990749","1.7199990749"
"32","0.1499999762","0.1499999762","0.1499999762","","","","0.4799998403","0.4799998403","0.4799998403","1.5199990273","1.5199990273","1.5199990273","","",""
"33","0.1499999762","0.1499999762","0.1499999762","0","0","0","0.2500000298","0.2500000298","0.2500000298","1.2399995327","1.2399995327","1.2399995327","1.7899991274","1.7899991274","1.7899991274"
"34","0.1499999762","0.1499999762","0.1499999762","0.0367500037","0.0367500037","0.0367500037","0.2500000298","0.2500000298","0.2500000298","1.7999991179","1.7999991179","1.7999991179","1.7899991274","1.7899991274","1.7899991274"
"35","1.479999423","1.479999423","1.479999423","0.2219498754","0.2219498754","0.2219498754","0.2500000298","0.2500000298","0.2500000298","1.9399987459","1.9399987459","1.9399987459","12.3300533295","12.3300533295","12.3300533295"
"36","1.479999423","1.479999423","1.479999423","1.8599988222","1.8599988222","1.8599988222","0.5299997926","0.5299997926","0.5299997926","1.8299994469","1.8299994469","1.8299994469","1.8699990511","1.8699990511","1.8699990511"
"37","0.2200000435","0.2200000435","0.2200000435","","","","0.0599999987","0.0599999987","0.0599999987","1.7299989462","1.7299989462","1.7299989462","","",""
