"Step","comic-armadillo-31 - return_train","comic-armadillo-31 - return_train__MIN","comic-armadillo-31 - return_train__MAX","TQC_speed - return_train","TQC_speed - return_train__MIN","TQC_speed - return_train__MAX","REDQSAC_speed - return_train","REDQSAC_speed - return_train__MIN","REDQSAC_speed - return_train__MAX","SAC_speed - return_train","SAC_speed - return_train__MIN","SAC_speed - return_train__MAX","REDQSAC_eaux_4_imgs_pretrained_3 - return_train","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MIN","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MAX","SAC_4_imgs_eaux_5 - return_train","SAC_4_imgs_eaux_5 - return_train__MIN","SAC_4_imgs_eaux_5 - return_train__MAX"
"27","0.3899998367","0.3899998367","0.3899998367","3.4299969673","3.4299969673","3.4299969673","0","0","0","1.1399993896","1.1399993896","1.1399993896","3.2999973297","3.2999973297","3.2999973297","2.8499987125","2.8499987125","2.8499987125"
"28","0.2500000298","0.2500000298","0.2500000298","1.2499990463","1.2499990463","1.2499990463","0.2999999523","0.2999999523","0.2999999523","1.1399993896","1.1399993896","1.1399993896","3.2999973297","3.2999973297","3.2999973297","","",""
"29","0.0199999977","0.0199999977","0.0199999977","2.5799982548","2.5799982548","2.5799982548","0.0199999977","0.0199999977","0.0199999977","3.5499966145","3.5499966145","3.5499966145","","","","","",""
"30","0.0099999988","0.0099999988","0.0099999988","2.5799982548","2.5799982548","2.5799982548","0.3299999237","0.3299999237","0.3299999237","3.5499966145","3.5499966145","3.5499966145","","","","","",""
"31","0","0","0","0.2700000107","0.2700000107","0.2700000107","0.1199999973","0.1199999973","0.1199999973","9.0300073624","9.0300073624","9.0300073624","0.1900000423","0.1900000423","0.1900000423","","",""
"32","0","0","0","0.7399997711","0.7399997711","0.7399997711","0.6699997187","0.6699997187","0.6699997187","9.0300073624","9.0300073624","9.0300073624","0.1900000423","0.1900000423","0.1900000423","","",""
"33","3.5899965763","3.5899965763","3.5899965763","0.7399997711","0.7399997711","0.7399997711","0.0099999988","0.0099999988","0.0099999988","4.2300024033","4.2300024033","4.2300024033","0.1900000423","0.1900000423","0.1900000423","5.9400019646","5.9400019646","5.9400019646"
"34","1.3199993372","1.3199993372","1.3199993372","5.2300038338","5.2300038338","5.2300038338","0.2200000435","0.2200000435","0.2200000435","4.2300024033","4.2300024033","4.2300024033","0.2100000232","0.2100000232","0.2100000232","5.9400019646","5.9400019646","5.9400019646"
"35","1.3199993372","1.3199993372","1.3199993372","4.7300038338","4.7300038338","4.7300038338","0.0999999791","0.0999999791","0.0999999791","8.7200069427","8.7200069427","8.7200069427","0.2100000232","0.2100000232","0.2100000232","8.5500106812","8.5500106812","8.5500106812"
"36","2.2199988365","2.2199988365","2.2199988365","2.0899984837","2.0899984837","2.0899984837","0","0","0","8.7200069427","8.7200069427","8.7200069427","0.2100000232","0.2100000232","0.2100000232","4.9599995613","4.9599995613","4.9599995613"
"37","2.2199988365","2.2199988365","2.2199988365","1.8999983072","1.8999983072","1.8999983072","0.9099997878","0.9099997878","0.9099997878","","","","","","","","",""
"38","5.1800117493","5.1800117493","5.1800117493","5.5800099373","5.5800099373","5.5800099373","0.0299999993","0.0299999993","0.0299999993","13.6400098801","13.6400098801","13.6400098801","","","","","",""
"39","5.1800117493","5.1800117493","5.1800117493","3.6399981976","3.6399981976","3.6399981976","0.3499999344","0.3499999344","0.3499999344","13.3900136948","13.3900136948","13.3900136948","0.2100000232","0.2100000232","0.2100000232","5.2800002098","5.2800002098","5.2800002098"
"40","3.1899981499","3.1899981499","3.1899981499","8.4400014877","8.4400014877","8.4400014877","0.2500000298","0.2500000298","0.2500000298","13.3900136948","13.3900136948","13.3900136948","0.2100000232","0.2100000232","0.2100000232","5.2800002098","5.2800002098","5.2800002098"
"41","3.1899981499","3.1899981499","3.1899981499","3.5999975204","3.5999975204","3.5999975204","0.0899999812","0.0899999812","0.0899999812","13.3900136948","13.3900136948","13.3900136948","","","","","",""
"42","5.2200040817","5.2200040817","5.2200040817","4.069999218","4.069999218","4.069999218","0.0599999987","0.0599999987","0.0599999987","13.3900136948","13.3900136948","13.3900136948","3.2699968815","3.2699968815","3.2699968815","6.0400090218","6.0400090218","6.0400090218"
"43","4.3399977684","4.3399977684","4.3399977684","8.7600011826","8.7600011826","8.7600011826","0.0099999988","0.0099999988","0.0099999988","13.3900136948","13.3900136948","13.3900136948","","","","","",""
"44","4.3399977684","4.3399977684","4.3399977684","7.3800001144","7.3800001144","7.3800001144","0.2200000435","0.2200000435","0.2200000435","23.8701324463","23.8701324463","23.8701324463","3.2699968815","3.2699968815","3.2699968815","5.0199999809","5.0199999809","5.0199999809"
"45","4.4199986458","4.4199986458","4.4199986458","6.2699975967","6.2699975967","6.2699975967","0.6099998355","0.6099998355","0.6099998355","23.8701324463","23.8701324463","23.8701324463","0.0199999977","0.0199999977","0.0199999977","5.0199999809","5.0199999809","5.0199999809"
"46","4.0399975777","4.0399975777","4.0399975777","27.4500026703","27.4500026703","27.4500026703","0","0","0","7.7300024033","7.7300024033","7.7300024033","0.0199999977","0.0199999977","0.0199999977","6.0600004196","6.0600004196","6.0600004196"
"47","1.9599992037","1.9599992037","1.9599992037","4.8400006294","4.8400006294","4.8400006294","0.2100000232","0.2100000232","0.2100000232","5.7600011826","5.7600011826","5.7600011826","","","","","",""
"48","1.9599992037","1.9599992037","1.9599992037","6.0099987984","6.0099987984","6.0099987984","0.4699998498","0.4699998498","0.4699998498","7.4800024033","7.4800024033","7.4800024033","0.0199999977","0.0199999977","0.0199999977","3.0199999809","3.0199999809","3.0199999809"
"49","4.4099998474","4.4099998474","4.4099998474","8.4600067139","8.4600067139","8.4600067139","0","0","0","","","","","","","","",""
"50","4.4099998474","4.4099998474","4.4099998474","7.1600017548","7.1600017548","7.1600017548","1.12999928","1.12999928","1.12999928","6.9300012589","6.9300012589","6.9300012589","0.6238997579","0.6238997579","0.6238997579","4.3099980354","4.3099980354","4.3099980354"
"51","5.0900044441","5.0900044441","5.0900044441","7.599998951","7.599998951","7.599998951","1.6999987364","1.6999987364","1.6999987364","6.3100004196","6.3100004196","6.3100004196","1.2399995327","1.2399995327","1.2399995327","4.3099980354","4.3099980354","4.3099980354"
"52","1.5199987888","1.5199987888","1.5199987888","7.2299981117","7.2299981117","7.2299981117","0.6099998355","0.6099998355","0.6099998355","5.5500016212","5.5500016212","5.5500016212","1.2399995327","1.2399995327","1.2399995327","4.8300004005","4.8300004005","4.8300004005"
"53","1.5299988985","1.5299988985","1.5299988985","6.3399991989","6.3399991989","6.3399991989","1.229999423","1.229999423","1.229999423","7.9499974251","7.9499974251","7.9499974251","1.2399995327","1.2399995327","1.2399995327","4.8300004005","4.8300004005","4.8300004005"
"54","1.4799995422","1.4799995422","1.4799995422","14.1399974823","14.1399974823","14.1399974823","0.0199999977","0.0199999977","0.0199999977","6.9100036621","6.9100036621","6.9100036621","0","0","0","","",""
"55","1.4799995422","1.4799995422","1.4799995422","7.849998951","7.849998951","7.849998951","0.0899999812","0.0899999812","0.0899999812","7.9100012779","7.9100012779","7.9100012779","0","0","0","","",""
"56","4.0799980164","4.0799980164","4.0799980164","15.6299953461","15.6299953461","15.6299953461","0.0500000007","0.0500000007","0.0500000007","7.9100012779","7.9100012779","7.9100012779","0","0","0","5.0999999046","5.0999999046","5.0999999046"
"57","4.530002594","4.530002594","4.530002594","26.6401462555","26.6401462555","26.6401462555","0.3899999261","0.3899999261","0.3899999261","7.1100001335","7.1100001335","7.1100001335","0.0611000061","0.0611000061","0.0611000061","3.5299985409","3.5299985409","3.5299985409"
"58","4.4199995995","4.4199995995","4.4199995995","5.0099983215","5.0099983215","5.0099983215","0.0699999928","0.0699999928","0.0699999928","6.5900001526","6.5900001526","6.5900001526","0.2599999905","0.2599999905","0.2599999905","3.5299985409","3.5299985409","3.5299985409"
"59","1.3399994373","1.3399994373","1.3399994373","4.1599974632","4.1599974632","4.1599974632","0.5199999213","0.5199999213","0.5199999213","3.5499982834","3.5499982834","3.5499982834","0.181250006","0.181250006","0.181250006","3.5299985409","3.5299985409","3.5299985409"
"60","1.8299994469","1.8299994469","1.8299994469","2.9899981022","2.9899981022","2.9899981022","0.2000000328","0.2000000328","0.2000000328","4.1099967957","4.1099967957","4.1099967957","","","","","",""
"61","4.4000000954","4.4000000954","4.4000000954","2.9699981213","2.9699981213","2.9699981213","0","0","0","","","","","","","","",""
"62","4.400001049","4.400001049","4.400001049","1.5899994373","1.5899994373","1.5899994373","0.5799998045","0.5799998045","0.5799998045","6.6499986649","6.6499986649","6.6499986649","0.0132999988","0.0132999988","0.0132999988","4.9899992943","4.9899992943","4.9899992943"
"63","4.400001049","4.400001049","4.400001049","2.2199990749","2.2199990749","2.2199990749","0.6099997759","0.6099997759","0.6099997759","2.7099988461","2.7099988461","2.7099988461","0.1399999857","0.1399999857","0.1399999857","4.9900040627","4.9900040627","4.9900040627"
"64","1.8699990511","1.8699990511","1.8699990511","2.2899990082","2.2899990082","2.2899990082","0.5199998617","0.5199998617","0.5199998617","","","","","","","","",""
"65","1.6599997282","1.6599997282","1.6599997282","7.7700018883","7.7700018883","7.7700018883","1.8099987507","1.8099987507","1.8099987507","2.9799981117","2.9799981117","2.9799981117","0","0","0","","",""
"66","4.4000000954","4.4000000954","4.4000000954","4.0499987602","4.0499987602","4.0499987602","0.6399997473","0.6399997473","0.6399997473","3.939997673","3.939997673","3.939997673","0","0","0","4.9900012016","4.9900012016","4.9900012016"
"67","2.0699994564","2.0699994564","2.0699994564","3.3999986649","3.3999986649","3.3999986649","0","0","0","7.9999995232","7.9999995232","7.9999995232","0.2292498797","0.2292498797","0.2292498797","6.3300061226","6.3300061226","6.3300061226"
"68","1.8300000429","1.8300000429","1.8300000429","5.8100004196","5.8100004196","5.8100004196","2.5799982548","2.5799982548","2.5799982548","4.6199989319","4.6199989319","4.6199989319","1.3099993467","1.3099993467","1.3099993467","6.3300061226","6.3300061226","6.3300061226"
"69","4.4000020027","4.4000020027","4.4000020027","8.4400053024","8.4400053024","8.4400053024","1.8499990702","1.8499990702","1.8499990702","3.3899981976","3.3899981976","3.3899981976","1.3099993467","1.3099993467","1.3099993467","4.7600049973","4.7600049973","4.7600049973"
"70","4.4000000954","4.4000000954","4.4000000954","20.9400024414","20.9400024414","20.9400024414","0.3000000119","0.3000000119","0.3000000119","7.7899999619","7.7899999619","7.7899999619","1.3099993467","1.3099993467","1.3099993467","4.7600049973","4.7600049973","4.7600049973"
"71","3.7799985409","3.7799985409","3.7799985409","14.9299964905","14.9299964905","14.9299964905","1.229999423","1.229999423","1.229999423","3.8799974918","3.8799974918","3.8799974918","0.4573997259","0.4573997259","0.4573997259","5.5500001907","5.5500001907","5.5500001907"
"72","3.7799985409","3.7799985409","3.7799985409","8.6899967194","8.6899967194","8.6899967194","0.2500000298","0.2500000298","0.2500000298","5.4700016975","5.4700016975","5.4700016975","0.1357499957","0.1357499957","0.1357499957","5.3900008202","5.3900008202","5.3900008202"
"73","3.7499988079","3.7499988079","3.7499988079","18.4699993134","18.4699993134","18.4699993134","0.999999702","0.999999702","0.999999702","6.5899968147","6.5899968147","6.5899968147","0","0","0","5.3900008202","5.3900008202","5.3900008202"
"74","4.1399989128","4.1399989128","4.1399989128","29.2300395966","29.2300395966","29.2300395966","0","0","0","3.6999981403","3.6999981403","3.6999981403","0.0864500254","0.0864500254","0.0864500254","5.3900008202","5.3900008202","5.3900008202"
"75","3.8199985027","3.8199985027","3.8199985027","6.9800014496","6.9800014496","6.9800014496","0.230000034","0.230000034","0.230000034","4.2599983215","4.2599983215","4.2599983215","0.1900000423","0.1900000423","0.1900000423","","",""
"76","4.4000020027","4.4000020027","4.4000020027","20.1200008392","20.1200008392","20.1200008392","1.12999928","1.12999928","1.12999928","3.9899976254","3.9899976254","3.9899976254","0.1761000007","0.1761000007","0.1761000007","8.8800144196","8.8800144196","8.8800144196"
"77","1.9399992228","1.9399992228","1.9399992228","5.8599991798","5.8599991798","5.8599991798","1.4999992847","1.4999992847","1.4999992847","4.6799993515","4.6799993515","4.6799993515","0.1606499851","0.1606499851","0.1606499851","8.8800144196","8.8800144196","8.8800144196"
"78","4.5600013733","4.5600013733","4.5600013733","5.0299992561","5.0299992561","5.0299992561","0.0899999812","0.0899999812","0.0899999812","","","","","","","","",""
"79","3.8899991512","3.8899991512","3.8899991512","6.4899997711","6.4899997711","6.4899997711","1.0899994373","1.0899994373","1.0899994373","4.9399986267","4.9399986267","4.9399986267","1.6807491779","1.6807491779","1.6807491779","6.3600010872","6.3600010872","6.3600010872"
"80","3.0199980736","3.0199980736","3.0199980736","8.7399997711","8.7399997711","8.7399997711","2.0999987125","2.0999987125","2.0999987125","","","","","","","","",""
"81","4.5000004768","4.5000004768","4.5000004768","12.3299999237","12.3299999237","12.3299999237","0.1599999964","0.1599999964","0.1599999964","7.6999988556","7.6999988556","7.6999988556","","","","","",""
"82","4.4700012207","4.4700012207","4.4700012207","6.6900000572","6.6900000572","6.6900000572","0.2999999523","0.2999999523","0.2999999523","7.8999986649","7.8999986649","7.8999986649","4.0499982834","4.0499982834","4.0499982834","8.8800172806","8.8800172806","8.8800172806"
"83","4.4400014877","4.4400014877","4.4400014877","26.5200004578","26.5200004578","26.5200004578","0.1299999803","0.1299999803","0.1299999803","7.2200007439","7.2200007439","7.2200007439","4.0499982834","4.0499982834","4.0499982834","8.8800172806","8.8800172806","8.8800172806"
"84","5.8400001526","5.8400001526","5.8400001526","5.0000004768","5.0000004768","5.0000004768","2.6499979496","2.6499979496","2.6499979496","7.2200007439","7.2200007439","7.2200007439","0.0999999791","0.0999999791","0.0999999791","4.7500090599","4.7500090599","4.7500090599"
"85","4.7500004768","4.7500004768","4.7500004768","7.0299992561","7.0299992561","7.0299992561","1.3299990892","1.3299990892","1.3299990892","21.5899944305","21.5899944305","21.5899944305","0.0999999791","0.0999999791","0.0999999791","4.7500090599","4.7500090599","4.7500090599"
"86","4.5300016403","4.5300016403","4.5300016403","14.1099996567","14.1099996567","14.1099996567","2.1299986839","2.1299986839","2.1299986839","7.4299998283","7.4299998283","7.4299998283","0.0999999791","0.0999999791","0.0999999791","3.1099991798","3.1099991798","3.1099991798"
"87","3.1599993706","3.1599993706","3.1599993706","13.8800001144","13.8800001144","13.8800001144","0.9399996996","0.9399996996","0.9399996996","7.349998951","7.349998951","7.349998951","0.1166499779","0.1166499779","0.1166499779","3.0199987888","3.0199987888","3.0199987888"
"88","3.7799985409","3.7799985409","3.7799985409","22.5499992371","22.5499992371","22.5499992371","0.180000037","0.180000037","0.180000037","7.3099980354","7.3099980354","7.3099980354","1.2099993229","1.2099993229","1.2099993229","3.9799993038","3.9799993038","3.9799993038"
"89","3.3299982548","3.3299982548","3.3299982548","7.6600012779","7.6600012779","7.6600012779","0.1499999762","0.1499999762","0.1499999762","7.3799977303","7.3799977303","7.3799977303","1.2099993229","1.2099993229","1.2099993229","3.9799993038","3.9799993038","3.9799993038"
"90","3.039999485","3.039999485","3.039999485","15.0200004578","15.0200004578","15.0200004578","0.6299997568","0.6299997568","0.6299997568","6.4299998283","6.4299998283","6.4299998283","1.1927493811","1.1927493811","1.1927493811","4.6599998474","4.6599998474","4.6599998474"
"91","3.1899988651","3.1899988651","3.1899988651","4.7700004578","4.7700004578","4.7700004578","0.8799994588","0.8799994588","0.8799994588","7.759996891","7.759996891","7.759996891","0.0599999987","0.0599999987","0.0599999987","4.6599998474","4.6599998474","4.6599998474"
"92","2.5699994564","2.5699994564","2.5699994564","29.9800052643","29.9800052643","29.9800052643","0.2700000107","0.2700000107","0.2700000107","","","","","","","","",""
"93","1.7099992037","1.7099992037","1.7099992037","14.1499986649","14.1499986649","14.1499986649","0.5999999046","0.5999999046","0.5999999046","7.8199987411","7.8199987411","7.8199987411","0.0799999908","0.0799999908","0.0799999908","5.3300032616","5.3300032616","5.3300032616"
"94","2.509999752","2.509999752","2.509999752","17.2299976349","17.2299976349","17.2299976349","0.2000000328","0.2000000328","0.2000000328","7.8699998856","7.8699998856","7.8699998856","0.4254498184","0.4254498184","0.4254498184","4.3400039673","4.3400039673","4.3400039673"
"95","4.7200016975","4.7200016975","4.7200016975","19.25","19.25","19.25","1.5299988985","1.5299988985","1.5299988985","7.400001049","7.400001049","7.400001049","","","","","",""
"96","4.1199994087","4.1199994087","4.1199994087","14.0900011063","14.0900011063","14.0900011063","1.3399991989","1.3399991989","1.3399991989","7.6699986458","7.6699986458","7.6699986458","0.5499997735","0.5499997735","0.5499997735","7.7800059319","7.7800059319","7.7800059319"
"97","4.0099987984","4.0099987984","4.0099987984","17.3799991608","17.3799991608","17.3799991608","2.0399987698","2.0399987698","2.0399987698","7.8799977303","7.8799977303","7.8799977303","1.5049492121","1.5049492121","1.5049492121","7.7800059319","7.7800059319","7.7800059319"
"98","4.3800001144","4.3800001144","4.3800001144","28.0699977875","28.0699977875","28.0699977875","0.5599999428","0.5599999428","0.5599999428","7.2200007439","7.2200007439","7.2200007439","3.2399976254","3.2399976254","3.2399976254","3.5599985123","3.5599985123","3.5599985123"
"99","5.3700037003","5.3700037003","5.3700037003","32.7699890137","32.7699890137","32.7699890137","0.7799996734","0.7799996734","0.7799996734","4.57999897","4.57999897","4.57999897","3.2399976254","3.2399976254","3.2399976254","3.9999988079","3.9999988079","3.9999988079"
"100","3.7899980545","3.7899980545","3.7899980545","32.7699890137","32.7699890137","32.7699890137","2.8399977684","2.8399977684","2.8399977684","4.57999897","4.57999897","4.57999897","3.2399976254","3.2399976254","3.2399976254","3.7899980545","3.7899980545","3.7899980545"
"101","8.5200204849","8.5200204849","8.5200204849","32.7699890137","32.7699890137","32.7699890137","0.3999999166","0.3999999166","0.3999999166","4.57999897","4.57999897","4.57999897","3.2399976254","3.2399976254","3.2399976254","3.7899980545","3.7899980545","3.7899980545"
"102","4.2399992943","4.2399992943","4.2399992943","27.0100002289","27.0100002289","27.0100002289","1.9899984598","1.9899984598","1.9899984598","4.57999897","4.57999897","4.57999897","0.0500000007","0.0500000007","0.0500000007","4.0799980164","4.0799980164","4.0799980164"
"103","5.7300000191","5.7300000191","5.7300000191","16.9799957275","16.9799957275","16.9799957275","1.0199993849","1.0199993849","1.0199993849","19.1700115204","19.1700115204","19.1700115204","0.0500000007","0.0500000007","0.0500000007","4.6100006104","4.6100006104","4.6100006104"
"104","6.5100011826","6.5100011826","6.5100011826","18.7099933624","18.7099933624","18.7099933624","2.6399974823","2.6399974823","2.6399974823","7.9199986458","7.9199986458","7.9199986458","0.0292500015","0.0292500015","0.0292500015","4.6100006104","4.6100006104","4.6100006104"
"105","3.4299991131","3.4299991131","3.4299991131","32.2399978638","32.2399978638","32.2399978638","2.9999976158","2.9999976158","2.9999976158","7.8899993896","7.8899993896","7.8899993896","0","0","0","9.2300033569","9.2300033569","9.2300033569"
"106","3.5199995041","3.5199995041","3.5199995041","20.9400043488","20.9400043488","20.9400043488","3.6099970341","3.6099970341","3.6099970341","","","","","","","","",""
"107","3.3099987507","3.3099987507","3.3099987507","18.1499958038","18.1499958038","18.1499958038","0.1399999857","0.1399999857","0.1399999857","7.7100000381","7.7100000381","7.7100000381","0.5370495319","0.5370495319","0.5370495319","9.2300033569","9.2300033569","9.2300033569"
"108","3.3499987125","3.3499987125","3.3499987125","19.1900005341","19.1900005341","19.1900005341","0.7799996734","0.7799996734","0.7799996734","22.1400089264","22.1400089264","22.1400089264","3.849997282","3.849997282","3.849997282","8.780008316","8.780008316","8.780008316"
"109","3.6199986935","3.6199986935","3.6199986935","17.9799976349","17.9799976349","17.9799976349","0.6699998975","0.6699998975","0.6699998975","19.4299945831","19.4299945831","19.4299945831","3.849997282","3.849997282","3.849997282","8.780008316","8.780008316","8.780008316"
"110","5.3500065804","5.3500065804","5.3500065804","19.8500003815","19.8500003815","19.8500003815","1.8799988031","1.8799988031","1.8799988031","","","","","","","","",""
"111","3.189999342","3.189999342","3.189999342","19.1000041962","19.1000041962","19.1000041962","1.9099984169","1.9099984169","1.9099984169","26.3200054169","26.3200054169","26.3200054169","3.849997282","3.849997282","3.849997282","","",""
"112","5.4900012016","5.4900012016","5.4900012016","17.5400028229","17.5400028229","17.5400028229","7.4800114632","7.4800114632","7.4800114632","15.3800191879","15.3800191879","15.3800191879","0.809999764","0.809999764","0.809999764","4.9799995422","4.9799995422","4.9799995422"
"113","5.9400072098","5.9400072098","5.9400072098","20.0899944305","20.0899944305","20.0899944305","4.8400044441","4.8400044441","4.8400044441","","","","","","","","",""
"114","5.4000024796","5.4000024796","5.4000024796","19.9399967194","19.9399967194","19.9399967194","0.6099996567","0.6099996567","0.6099996567","12.6299991608","12.6299991608","12.6299991608","1.3174493313","1.3174493313","1.3174493313","4.7900042534","4.7900042534","4.7900042534"
